"","X","probeset_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","transcript_cluster_id","seqname","strand","start","stop","total_probes","gene_assignment","mrna_assignment","swissprot","unigene","GO_biological_process","GO_cellular_component","GO_molecular_function","pathway","protein_domains","crosshyb_type","category"
"11",40483,17549018,-4.58078914434785,6.78961509966381,-10.4938606844483,2.95867607635528e-05,0.101938718647424,-0.579907390999705,17549018,"RPTR-AF062997-1","+",1,558,25,"RPTR-AF062997-1 // --- // /FEA=CDS /DB_XREF=GI:3142439 /DEF=Retrotransposon vector pVLIBAG, complete sequence: IRES; internal ribosome entry sequence from encephalomyocarditis virus. /NOTE=(1205-1762) // --- // ---","RPTR-AF062997-1 // other // /FEA=CDS /DB_XREF=GI:3142439 /DEF=Retrotransposon vector pVLIBAG, complete sequence: IRES; internal ribosome entry sequence from encephalomyocarditis virus. /NOTE=(1205-1762) // RPTR-AF062997-1 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"reporter"
"12",24835,17403205,-1.99778769205444,4.09425875806001,-10.2020388907578,3.50979509471366e-05,0.111624983223797,-0.610318921347299,17403205,"chr3","+",142496900,142522344,18,"ENSMUST00000045254 // Gbp5 // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // --- // --- /// NM_153564.2 // Gbp5 // Mus musculus guanylate binding protein 5 (Gbp5), mRNA. // --- // --- /// ENSMUST00000065526 // Gbp5 // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // --- // --- /// ENSMUST00000090127 // Gbp5 // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // --- // --- /// ENSMUST00000165451 // Gbp5 // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // --- // ---","ENSMUST00000045254 // ensGene // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // chr3 // --- // --- // --- // --- // --- /// NM_153564.2 // blat // Mus musculus guanylate binding protein 5 (Gbp5), mRNA. // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000065526 // ensGene // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000090127 // ensGene // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000165451 // ensGene // guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943] // chr3 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"13",27492,17429632,-1.63693537622488,6.01892402437811,-9.36877341458173,5.86241328533843e-05,0.173129626630227,-0.710144724593486,17429632,"chr4","-",122946850,122961188,25,"NM_029662.2 // Mfsd2a // Mus musculus major facilitator superfamily domain containing 2A (Mfsd2a), mRNA. // --- // --- /// ENSMUST00000030408 // Mfsd2a // major facilitator superfamily domain containing 2A [Source:MGI Symbol;Acc:MGI:1923824] // --- // --- /// ENSMUST00000152308 // Mfsd2a // major facilitator superfamily domain containing 2A [Source:MGI Symbol;Acc:MGI:1923824] // --- // --- /// ENSMUST00000127047 // Mfsd2a // major facilitator superfamily domain containing 2A [Source:MGI Symbol;Acc:MGI:1923824] // --- // --- /// ENSMUST00000138964 // Mfsd2a // major facilitator superfamily domain containing 2A [Source:MGI Symbol;Acc:MGI:1923824] // --- // ---","NM_029662.2 // blat // Mus musculus major facilitator superfamily domain containing 2A (Mfsd2a), mRNA. // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000030408 // ensGene // major facilitator superfamily domain containing 2A [Source:MGI Symbol;Acc:MGI:1923824] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000152308 // ensGene // major facilitator superfamily domain containing 2A [Source:MGI Symbol;Acc:MGI:1923824] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000127047 // ensGene // major facilitator superfamily domain containing 2A [Source:MGI Symbol;Acc:MGI:1923824] // chr4 // --- // --- // --- // --- // --- /// ENSMUST00000138964 // ensGene // major facilitator superfamily domain containing 2A [Source:MGI Symbol;Acc:MGI:1923824] // chr4 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"14",10421,17262942,1.19633686209063,7.98538793812542,7.931292797772,0.000157328971202588,0.375235492520135,-0.942141623993892,17262942,"chr11","-",55158468,55185077,29,"NM_153170.3 // Slc36a2 // Mus musculus solute carrier family 36 (proton/amino acid symporter), member 2 (Slc36a2), mRNA. // --- // --- /// ENSMUST00000039305 // Slc36a2 // solute carrier family 36 (proton/amino acid symporter), member 2 [Source:MGI Symbol;Acc:MGI:1891430] // --- // --- /// XR_141092.1 // LOC100862205 // PREDICTED: Mus musculus uncharacterized LOC100862205 (LOC100862205), miscRNA. // --- // --- /// ENSMUST00000125560 // Slc36a2 // solute carrier family 36 (proton/amino acid symporter), member 2 [Source:MGI Symbol;Acc:MGI:1891430] // --- // ---","NM_153170.3 // blat // Mus musculus solute carrier family 36 (proton/amino acid symporter), member 2 (Slc36a2), mRNA. // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000039305 // ensGene // solute carrier family 36 (proton/amino acid symporter), member 2 [Source:MGI Symbol;Acc:MGI:1891430] // chr11 // --- // --- // --- // --- // --- /// XR_141092.1 // blat // PREDICTED: Mus musculus uncharacterized LOC100862205 (LOC100862205), miscRNA. // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000125560 // ensGene // solute carrier family 36 (proton/amino acid symporter), member 2 [Source:MGI Symbol;Acc:MGI:1891430] // chr11 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"15",31640,17471464,-1.58325763851652,7.85357006865019,-7.8804494974594,0.000163362894312793,0.375235492520135,-0.952121872464004,17471464,"chr6","-",128813706,128826331,16,"NM_030599.4 // Klrb1b // Mus musculus killer cell lectin-like receptor subfamily B member 1B (Klrb1b), mRNA. // --- // --- /// ENSMUST00000032472 // Klrb1b // killer cell lectin-like receptor subfamily B member 1B [Source:MGI Symbol;Acc:MGI:107539] // --- // --- /// ENSMUST00000172887 // Klrb1b // killer cell lectin-like receptor subfamily B member 1B [Source:MGI Symbol;Acc:MGI:107539] // --- // --- /// ENSMUST00000174544 // Klrb1b // killer cell lectin-like receptor subfamily B member 1B [Source:MGI Symbol;Acc:MGI:107539] // --- // ---","NM_030599.4 // blat // Mus musculus killer cell lectin-like receptor subfamily B member 1B (Klrb1b), mRNA. // chr6 // --- // --- // --- // --- // --- /// ENSMUST00000032472 // ensGene // killer cell lectin-like receptor subfamily B member 1B [Source:MGI Symbol;Acc:MGI:107539] // chr6 // --- // --- // --- // --- // --- /// ENSMUST00000172887 // ensGene // killer cell lectin-like receptor subfamily B member 1B [Source:MGI Symbol;Acc:MGI:107539] // chr6 // --- // --- // --- // --- // --- /// ENSMUST00000174544 // ensGene // killer cell lectin-like receptor subfamily B member 1B [Source:MGI Symbol;Acc:MGI:107539] // chr6 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"16",7052,17229782,-1.67481233849594,8.43484083647122,-7.8064796869315,0.000172619955585955,0.375630108615859,-0.966897761659767,17229782,"chr1","-",171632403,171653037,29,"NM_144539.5 // Slamf7 // Mus musculus SLAM family member 7 (Slamf7), mRNA. // --- // --- /// ENSMUST00000062219 // Slamf7 // SLAM family member 7 [Source:MGI Symbol;Acc:MGI:1922595] // --- // --- /// ENSMUST00000111276 // Slamf7 // SLAM family member 7 [Source:MGI Symbol;Acc:MGI:1922595] // --- // ---","NM_144539.5 // blat // Mus musculus SLAM family member 7 (Slamf7), mRNA. // chr1 // --- // --- // --- // --- // --- /// ENSMUST00000062219 // ensGene // SLAM family member 7 [Source:MGI Symbol;Acc:MGI:1922595] // chr1 // --- // --- // --- // --- // --- /// ENSMUST00000111276 // ensGene // SLAM family member 7 [Source:MGI Symbol;Acc:MGI:1922595] // chr1 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"17",10812,17267418,-1.21753747997218,7.51974517556732,-7.63906900325801,0.000195872368229814,0.404917153223083,-1.00149743919596,17267418,"chr11","-",86812765,86816129,19,"NR_002860.2 // A130040M12Rik // Mus musculus RIKEN cDNA A130040M12 gene (A130040M12Rik), non-coding RNA. // --- // ---","NR_002860.2 // blat // Mus musculus RIKEN cDNA A130040M12 gene (A130040M12Rik), non-coding RNA. // chr11 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"18",41091,17550472,1.21939569786607,4.92230227333037,7.30671156698294,0.000253477578374927,0.476365021723243,-1.07527228942682,17550472,"Tsix","+",1,53441,25,"Tsix // Tsix // mm9 chrX:100,626,856-100,680,296 // --- // ---","Tsix // other // mm9 chrX:100,626,856-100,680,296 // Tsix // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"rescue"
"19",10297,17261942,2.12486868320276,5.60930759969383,7.21365460381571,0.000272919188744484,0.490601906897422,-1.09722497107867,17261942,"chr11","-",43374397,43374461,19,"NR_029558.1 // Mir146 // Mus musculus microRNA 146 (Mir146), microRNA. // --- // --- /// ENSMUST00000083667 // Mir146 // microRNA 146 [Source:MGI Symbol;Acc:MGI:2676831] // --- // ---","NR_029558.1 // blat // Mus musculus microRNA 146 (Mir146), microRNA. // chr11 // --- // --- // --- // --- // --- /// ENSMUST00000083667 // ensGene // microRNA 146 [Source:MGI Symbol;Acc:MGI:2676831] // chr11 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"20",37715,17530881,-3.03336641737959,8.17072502553134,-7.09660548272483,0.000299835073530235,0.516528379796149,-1.12569414452927,17530881,"chr9","-",107300380,107301838,24,"ENSMUST00000163196 // Gm17041 // predicted gene 17041 [Source:MGI Symbol;Acc:MGI:4937868] // --- // ---","ENSMUST00000163196 // ensGene // predicted gene 17041 [Source:MGI Symbol;Acc:MGI:4937868] // chr9 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"21",22172,17375961,-1.293342619057,6.63128778407483,-6.8870364089778,0.000355950151069352,0.533564049641156,-1.17916858317355,17375961,"chr2","+",128126038,128162547,29,"NM_207680.2 // Bcl2l11 // Mus musculus BCL2-like 11 (apoptosis facilitator) (Bcl2l11), transcript variant 1, mRNA. // --- // --- /// NM_207681.2 // Bcl2l11 // Mus musculus BCL2-like 11 (apoptosis facilitator) (Bcl2l11), transcript variant 2, mRNA. // --- // --- /// NM_009754.3 // Bcl2l11 // Mus musculus BCL2-like 11 (apoptosis facilitator) (Bcl2l11), transcript variant 3, mRNA. // --- // --- /// ENSMUST00000019281 // Bcl2l11 // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // --- // --- /// ENSMUST00000089634 // Bcl2l11 // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // --- // --- /// ENSMUST00000103210 // Bcl2l11 // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // --- // --- /// ENSMUST00000103211 // Bcl2l11 // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // --- // --- /// ENSMUST00000110341 // Bcl2l11 // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // --- // --- /// ENSMUST00000146023 // Bcl2l11 // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // --- // --- /// ENSMUST00000129206 // Bcl2l11 // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // --- // --- /// ENSMUST00000132201 // Bcl2l11 // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // --- // ---","NM_207680.2 // blat // Mus musculus BCL2-like 11 (apoptosis facilitator) (Bcl2l11), transcript variant 1, mRNA. // chr2 // --- // --- // --- // --- // --- /// NM_207681.2 // blat // Mus musculus BCL2-like 11 (apoptosis facilitator) (Bcl2l11), transcript variant 2, mRNA. // chr2 // --- // --- // --- // --- // --- /// NM_009754.3 // blat // Mus musculus BCL2-like 11 (apoptosis facilitator) (Bcl2l11), transcript variant 3, mRNA. // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000019281 // ensGene // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000089634 // ensGene // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000103210 // ensGene // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000103211 // ensGene // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000110341 // ensGene // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000146023 // ensGene // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000129206 // ensGene // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000132201 // ensGene // BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519] // chr2 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"22",35795,17510948,-2.54427022866868,6.8652888728082,-6.87732047939985,0.000358828569093388,0.533564049641156,-1.18172867686761,17510948,"chr8","-",83723251,83741326,33,"NM_011925.2 // Cd97 // Mus musculus CD97 antigen (Cd97), transcript variant 1, mRNA. // --- // --- /// NM_001163029.1 // Cd97 // Mus musculus CD97 antigen (Cd97), transcript variant 2, mRNA. // --- // --- /// NM_001163030.1 // Cd97 // Mus musculus CD97 antigen (Cd97), transcript variant 3, mRNA. // --- // --- /// NM_001163031.1 // Cd97 // Mus musculus CD97 antigen (Cd97), transcript variant 4, mRNA. // --- // --- /// ENSMUST00000002964 // Cd97 // CD97 antigen [Source:MGI Symbol;Acc:MGI:1347095] // --- // --- /// ENSMUST00000075843 // Cd97 // CD97 antigen [Source:MGI Symbol;Acc:MGI:1347095] // --- // --- /// ENSMUST00000109802 // Cd97 // CD97 antigen [Source:MGI Symbol;Acc:MGI:1347095] // --- // --- /// ENSMUST00000166939 // Cd97 // CD97 antigen [Source:MGI Symbol;Acc:MGI:1347095] // --- // ---","NM_011925.2 // blat // Mus musculus CD97 antigen (Cd97), transcript variant 1, mRNA. // chr8 // --- // --- // --- // --- // --- /// NM_001163029.1 // blat // Mus musculus CD97 antigen (Cd97), transcript variant 2, mRNA. // chr8 // --- // --- // --- // --- // --- /// NM_001163030.1 // blat // Mus musculus CD97 antigen (Cd97), transcript variant 3, mRNA. // chr8 // --- // --- // --- // --- // --- /// NM_001163031.1 // blat // Mus musculus CD97 antigen (Cd97), transcript variant 4, mRNA. // chr8 // --- // --- // --- // --- // --- /// ENSMUST00000002964 // ensGene // CD97 antigen [Source:MGI Symbol;Acc:MGI:1347095] // chr8 // --- // --- // --- // --- // --- /// ENSMUST00000075843 // ensGene // CD97 antigen [Source:MGI Symbol;Acc:MGI:1347095] // chr8 // --- // --- // --- // --- // --- /// ENSMUST00000109802 // ensGene // CD97 antigen [Source:MGI Symbol;Acc:MGI:1347095] // chr8 // --- // --- // --- // --- // --- /// ENSMUST00000166939 // ensGene // CD97 antigen [Source:MGI Symbol;Acc:MGI:1347095] // chr8 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"23",25069,17405463,-1.00166223297481,8.81419802669168,-6.84821978814434,0.000367609763075519,0.533564049641156,-1.18944069715839,17405463,"chr3","-",59114625,59130624,21,"NM_001008497.1 // P2ry14 // Mus musculus purinergic receptor P2Y, G-protein coupled, 14 (P2ry14), transcript variant 2, mRNA. // --- // --- /// NM_133200.3 // P2ry14 // Mus musculus purinergic receptor P2Y, G-protein coupled, 14 (P2ry14), transcript variant 1, mRNA. // --- // --- /// ENSMUST00000065220 // P2ry14 // purinergic receptor P2Y, G-protein coupled, 14 [Source:MGI Symbol;Acc:MGI:2155705] // --- // --- /// ENSMUST00000091112 // P2ry14 // purinergic receptor P2Y, G-protein coupled, 14 [Source:MGI Symbol;Acc:MGI:2155705] // --- // ---","NM_001008497.1 // blat // Mus musculus purinergic receptor P2Y, G-protein coupled, 14 (P2ry14), transcript variant 2, mRNA. // chr3 // --- // --- // --- // --- // --- /// NM_133200.3 // blat // Mus musculus purinergic receptor P2Y, G-protein coupled, 14 (P2ry14), transcript variant 1, mRNA. // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000065220 // ensGene // purinergic receptor P2Y, G-protein coupled, 14 [Source:MGI Symbol;Acc:MGI:2155705] // chr3 // --- // --- // --- // --- // --- /// ENSMUST00000091112 // ensGene // purinergic receptor P2Y, G-protein coupled, 14 [Source:MGI Symbol;Acc:MGI:2155705] // chr3 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"24",40617,17549296,-1.10913318816729,3.28273073657519,-6.82673564937617,0.000374249786905152,0.533564049641156,-1.19517701384769,17549296,"gi309267241","+",1,726,18,"XM_003086954.1 // LOC100505241 // PREDICTED: Mus musculus uncharacterized LOC100505241 (LOC100505241), partial mRNA. // --- // ---","XM_003086954.1 // other // PREDICTED: Mus musculus uncharacterized LOC100505241 (LOC100505241), partial mRNA. // gi309267241 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"rescue"
"25",39494,17546287,-2.47517845298157,3.92253681129296,-6.74998028934191,0.000399113043965645,0.537896907455662,-1.21597202067167,17546287,"chrY","+",897788,943811,20,"NM_011419.3 // Kdm5d // Mus musculus lysine (K)-specific demethylase 5D (Kdm5d), mRNA. // --- // --- /// ENSMUST00000055032 // Kdm5d // lysine (K)-specific demethylase 5D [Source:MGI Symbol;Acc:MGI:99780] // --- // --- /// ENSMUST00000169001 // Kdm5d // lysine (K)-specific demethylase 5D [Source:MGI Symbol;Acc:MGI:99780] // --- // ---","NM_011419.3 // blat // Mus musculus lysine (K)-specific demethylase 5D (Kdm5d), mRNA. // chrY // --- // --- // --- // --- // --- /// ENSMUST00000055032 // ensGene // lysine (K)-specific demethylase 5D [Source:MGI Symbol;Acc:MGI:99780] // chrY // --- // --- // --- // --- // --- /// ENSMUST00000169001 // ensGene // lysine (K)-specific demethylase 5D [Source:MGI Symbol;Acc:MGI:99780] // chrY // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"26",32763,17481693,1.67800343518066,4.08198669621126,6.7190132914293,0.000409672535023045,0.537896907455662,-1.22449699569982,17481693,"chr7","+",110003578,110003718,9,"ENSMUST00000083455 // U1 // U1 spliceosomal RNA  [Source:RFAM;Acc:RF00003] // --- // ---","ENSMUST00000083455 // ensGene // U1 spliceosomal RNA  [Source:RFAM;Acc:RF00003] // chr7 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"main"
